         68508122 function calls (65184661 primitive calls) in 24.793 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      547    0.005    0.000    0.037    0.000 py2cpp.py:450(on_import)
     9599    0.005    0.000    0.011    0.000 doc_string.j2:4(root)
    10077    0.005    0.000    0.071    0.000 primary.py:307(domain_name)
     9029    0.005    0.000    0.013    0.000 finder.py:223(__find_raw_recursive)
    10871    0.004    0.000    0.177    0.000 primary.py:139(match_feature)
7376/1074    0.004    0.000    0.026    0.000 visitor.py:44(generic_visit)
     6477    0.004    0.000    0.215    0.000 finder.py:77(by_symbolic)
    24246    0.004    0.000    0.004    0.000 {built-in method _functools.cmp_to_key}
     2490    0.004    0.000    0.114    0.000 io.py:95(__resolve_filepath)
       49    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
     6555    0.004    0.000    0.006    0.000 <frozen ntpath>:179(splitroot)
    35114    0.004    0.000    0.004    0.000 {built-in method builtins.callable}
    11616    0.004    0.000    0.170    0.000 statement_compound.py:487(is_property)
    28455    0.004    0.000    0.004    0.000 render.py:62(__indentation)
     4202    0.004    0.000    0.006    0.000 di.py:189(__pluck_annotations)
     4511    0.004    0.000    0.014    0.000 type_py2cpp.j2:4(root)
     4805    0.004    0.000    0.080    0.000 statement_simple.py:13(receivers)
     4839    0.004    0.000    0.154    0.000 py2cpp.py:473(on_argument)
    27296    0.004    0.000    0.004    0.000 template.py:28(__getattr__)
    50880    0.004    0.000    0.004    0.000 entry.py:74(empty_name)
     2348    0.004    0.000    0.030    0.000 statement_compound.py:314(statements)
     6225    0.004    0.000    0.262    0.000 primary.py:102(match_feature)
    13684    0.004    0.000    0.006    0.000 visitor.py:28(get_visitor)
     7433    0.004    0.000    0.042    0.000 primary.py:39(class_type)
    11400    0.004    0.000    0.071    0.000 primary.py:47(match_feature)
    18838    0.004    0.000    0.004    0.000 {method 'replace' of 'str' objects}
    23607    0.004    0.000    0.004    0.000 {method 'extend' of 'list' objects}
    28455    0.004    0.000    0.004    0.000 <frozen _collections_abc>:845(__init__)
    28695    0.004    0.000    0.004    0.000 {method 'append' of 'collections.deque' objects}
      697    0.004    0.000    0.903    0.001 py2cpp.py:986(proc_binary_operator)
     5336    0.004    0.000    0.025    0.000 _definition.j2:4(root)
     4281    0.004    0.000    0.004    0.000 cvars.py:138(keys)
     1463    0.003    0.000    0.076    0.000 cvars.py:147(key_from)
     4928    0.003    0.000    0.019    0.000 filters.py:566(sync_do_join)
     1463    0.003    0.000    0.013    0.000 str_format.j2:4(root)
     1459    0.003    0.000    0.011    0.000 filters.py:812(do_indent)
     3112    0.003    0.000    0.003    0.000 {built-in method nt._getfullpathname}
     4822    0.003    0.000    0.003    0.000 filters.py:1745(prepare_select_or_reject)
     7188    0.003    0.000    0.003    0.000 db.py:123(completed)
     9698    0.003    0.000    0.077    0.000 primary.py:133(match_feature)
     1634    0.003    0.000    0.037    0.000 statement_compound.py:373(parameters)
      106    0.003    0.000    0.004    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     4705    0.003    0.000    0.042    0.000 py2cpp.py:544(is_on_cvar_relay)
     9069    0.003    0.000    0.100    0.000 traits.py:341(<lambda>)
     9069    0.003    0.000    0.011    0.000 template.py:298(schema)
     7330    0.003    0.000    0.005    0.000 compiler.py:453(write)
    13589    0.003    0.000    0.004    0.000 resolver.py:67(register)
 1992/461    0.003    0.000    0.014    0.000 visitor.py:61(generic_visit)
     3086    0.003    0.000    0.016    0.000 _block.j2:4(root)
     8348    0.003    0.000    0.052    0.000 primary.py:174(match_feature)
     9570    0.003    0.000    0.035    0.000 py2cpp.py:1075(on_fallback)
12259/5925    0.003    0.000    0.050    0.000 {built-in method builtins.next}
     5922    0.003    0.000    0.034    0.000 py2cpp.py:541(is_this_relay)
     3376    0.003    0.000    0.035    0.000 class_method.j2:4(root)
    13398    0.003    0.000    0.003    0.000 {built-in method builtins.max}
      523    0.003    0.000    0.248    0.000 py2cpp.py:313(on_method)
