         216605363 function calls (206138951 primitive calls) in 79.292 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20386    0.044    0.000    2.365    0.000 traits.py:378(returns)
      172    0.044    0.000    0.044    0.000 {built-in method builtins.compile}
   130865    0.044    0.000    0.073    0.000 lexer.py:213(_future_new)
    60825    0.043    0.000    0.351    0.000 primary.py:834(in_decl_class_type)
    29099    0.043    0.000    0.186    0.000 primary.py:715(is_decl_this_var_forward)
    14275    0.043    0.000    0.237    0.000 statement_compound.py:317(statements)
    27432    0.042    0.000    0.151    0.000 parameter.j2:4(root)
   130865    0.042    0.000    0.115    0.000 lexer.py:202(__new__)
    39084    0.042    0.000    0.474    0.000 statement_compound.py:485(_has_annotation)
6040/3874    0.042    0.000    1.545    0.000 py2cpp.py:211(to_accessible_name)
    46762    0.041    0.000    0.395    0.000 primary.py:780(is_param_this)
    21430    0.041    0.000    2.220    0.000 primary.py:218(match_feature)
   296671    0.040    0.000    0.040    0.000 reflection.py:17(__init__)
    43417    0.040    0.000    0.341    0.000 primary.py:795(is_param)
    45789    0.040    0.000    0.040    0.000 node.py:493(Proxy)
   170583    0.040    0.000    0.040    0.000 {built-in method __new__ of type object at 0x00007FFFF03E28A0}
   291109    0.040    0.000    0.040    0.000 base.py:181(__init__)
    23863    0.039    0.000    0.039    0.000 db.py:125(completed)
   299669    0.038    0.000    0.038    0.000 trait.py:107(has_method)
   282279    0.038    0.000    0.038    0.000 {built-in method builtins.iter}
   144739    0.038    0.000    0.053    0.000 enum.py:199(__get__)
    28616    0.037    0.000    0.362    0.000 finder.py:175(__find_raw_for_type)
    35458    0.037    0.000    0.277    0.000 element.py:61(arguments)
    34316    0.037    0.000    0.542    0.000 method.j2:4(root)
    20700    0.036    0.000    0.198    0.000 custom_type.j2:4(root)
    38312    0.036    0.000    0.076    0.000 dsn.py:53(right)
    55689    0.036    0.000    0.305    0.000 primary.py:865(in_decl_import)
    24126    0.035    0.000    0.124    0.000 finder.py:216(__find_imported_raw)
   548111    0.035    0.000    0.035    0.000 entry.py:12(__init__)
    78488    0.035    0.000    0.187    0.000 traits.py:155(_actualize_template)
     1714    0.035    0.000    0.035    0.000 {method '__exit__' of '_io._IOBase' objects}
   296671    0.034    0.000    0.034    0.000 reflection.py:43(__init__)
    23623    0.034    0.000    0.713    0.000 traits.py:452(_build_helper)
    46949    0.034    0.000    0.286    0.000 primary.py:846(in_decl_alt_class_type)
    16279    0.034    0.000    0.043    0.000 di.py:202(__assert_invoke)
   123565    0.032    0.000    0.061    0.000 __init__.py:1036(__bool__)
   136448    0.032    0.000    0.037    0.000 {built-in method builtins.any}
    66681    0.032    0.000    0.861    0.000 template.py:240(unpack_symbols)
    79112    0.031    0.000    0.168    0.000 traits.py:171(_actualize_alt)
    42164    0.031    0.000    2.328    0.000 general.py:50(whole_by)
    27672    0.031    0.000    2.141    0.000 primary.py:22(label)
    68381    0.031    0.000    1.750    0.000 primary.py:126(match_feature)
    68598    0.031    0.000    0.063    0.000 nodes.py:169(iter_child_nodes)
35875/35827    0.030    0.000    1.883    0.000 py2cpp.py:301(to_domain_name_by_class)
    36165    0.030    0.000    0.643    0.000 statement_compound.py:420(symbol)
   117707    0.030    0.000    0.318    0.000 primary.py:243(domain_name)
    48436    0.030    0.000    0.160    0.000 module.py:18(full_join)
    27271    0.030    0.000    0.091    0.000 reflection.py:82(context)
    68580    0.029    0.000    0.048    0.000 i18n.py:38(t)
    13315    0.029    0.000    0.054    0.000 lexer.py:669(tokeniter)
82049/81046    0.029    0.000   25.015    0.000 reflections.py:334(resolve)
    55799    0.029    0.000    0.193    0.000 primary.py:31(value)
    23623    0.029    0.000    0.038    0.000 template.py:454(__resolve_injector)
   283910    0.028    0.000    0.028    0.000 {built-in method builtins.issubclass}
   158233    0.028    0.000    0.028    0.000 {method '__exit__' of '_thread.lock' objects}
    47900    0.028    0.000    0.573    0.000 statement_compound.py:335(alias_embedder)
    26770    0.028    0.000    0.305    0.000 _method_body.j2:4(root)
     8988    0.028    0.000    3.320    0.000 py2cpp.py:987(on_var_of_type)
    53822    0.028    0.000    4.235    0.000 reflections.py:203(resolve_property)
    17026    0.028    0.000    2.405    0.000 cvars.py:180(resolve)
    21467    0.027    0.000    0.607    0.000 py2cpp.py:890(is_relay_literalizer)
      440    0.027    0.000    3.072    0.007 db.py:169(import_json)
     4924    0.027    0.000    0.387    0.000 statement_compound.py:701(decl_this_vars)
   312251    0.027    0.000    0.027    0.000 reflection.py:349(node)
     2456    0.027    0.000    0.166    0.000 py2cpp.py:769(on_import)
    60394    0.027    0.000    0.063    0.000 translation.py:4(alias_dsn)
    48456    0.026    0.000    0.059    0.000 module.py:66(expand_elements)
48918/48902    0.026    0.000    0.028    0.000 typing.py:426(inner)
    16715    0.025    0.000    0.039    0.000 <frozen _collections_abc>:473(__new__)
    55198    0.025    0.000    0.445    0.000 node.py:108(fullyname)
    16279    0.025    0.000    0.066    0.000 di.py:176(__to_annotated)
    24226    0.025    0.000    0.205    0.000 statement_compound.py:661(__org_inherits)
82049/81046    0.024    0.000   25.040    0.000 reflections.py:296(__resolve_procedural)
    47791    0.024    0.000    0.030    0.000 typing.py:1313(__call__)
    12093    0.024    0.000    0.074    0.000 template.py:322(_find_actual_path)
   356424    0.023    0.000    0.023    0.000 tree.py:57(__init__)
18674/14584    0.023    0.000    1.808    0.000 reflections.py:262(__resolve_raw_recursive)
   146459    0.023    0.000    0.023    0.000 {built-in method from_iterable}
   251414    0.023    0.000    0.023    0.000 reflection.py:364(via)
   356424    0.022    0.000    0.022    0.000 tree.py:28(__init__)
    70976    0.022    0.000    0.022    0.000 {built-in method _abc._abc_instancecheck}
     3078    0.021    0.000    5.118    0.002 py2cpp.py:674(proc_move_assign_single)
    16565    0.021    0.000    1.445    0.000 py2cpp.py:902(is_relay_cvar)
    53609    0.021    0.000    0.314    0.000 statement_simple.py:24(receivers)
     9611    0.021    0.000    0.046    0.000 cvars.py:66(in_value)
     6320    0.021    0.000    1.372    0.000 reflections.py:539(on_func_call)
   159403    0.021    0.000    0.021    0.000 {built-in method builtins.callable}
    21594    0.020    0.000    0.043    0.000 dsn.py:40(left)
    12789    0.020    0.000    0.041    0.000 comment.py:68(__trim_description)
    21351    0.020    0.000    0.039    0.000 dsn.py:66(shift)
    47315    0.020    0.000    0.807    0.000 primary.py:139(match_feature)
    21314    0.019    0.000    0.276    0.000 statement_compound.py:605(inherits)
      441    0.019    0.000    1.927    0.004 cache.py:167(load_cache)
    64090    0.019    0.000    0.216    0.000 primary.py:525(calls)
     1670    0.019    0.000    0.234    0.000 statement_compound.py:726(vars)
   141861    0.019    0.000    0.019    0.000 {method 'append' of 'collections.deque' objects}
   207536    0.019    0.000    0.019    0.000 node.py:452(match_feature)
    59371    0.019    0.000    0.019    0.000 {built-in method builtins.setattr}
     5921    0.019    0.000    0.383    0.000 py2cpp.py:170(explicit_class_attrs)
    48232    0.019    0.000    0.044    0.000 finder.py:255(__find_raw_recursive)
    23863    0.019    0.000    0.036    0.000 db.py:33(__setitem__)
   197730    0.019    0.000    0.019    0.000 reflection.py:91(attrs)
     2921    0.018    0.000    0.132    0.000 comment.py:48(parse)
14744/11923    0.018    0.000    0.111    0.000 reflection.py:169(to_temporary)
     2123    0.018    0.000    1.299    0.001 py2cpp.py:592(on_method)
    15702    0.018    0.000    0.672    0.000 element.py:25(var_type)
    21467    0.018    0.000    6.210    0.000 py2cpp.py:834(<lambda>)
    54752    0.018    0.000    0.018    0.000 embed.py:26(class_path)
    70976    0.018    0.000    0.039    0.000 <frozen abc>:117(__instancecheck__)
   121403    0.017    0.000    0.024    0.000 nodes.py:147(iter_fields)
    43385    0.017    0.000    0.233    0.000 statement_simple.py:57(receiver)
    46762    0.017    0.000    0.412    0.000 primary.py:149(match_feature)
    16938    0.017    0.000    2.943    0.000 py2cpp.py:836(<lambda>)
    16279    0.017    0.000    0.022    0.000 di.py:191(__pluck_annotations)
     2641    0.017    0.000    0.017    0.000 {built-in method _hashlib.openssl_md5}
     7466    0.017    0.000    0.077    0.000 _params.j2:4(root)
    40430    0.017    0.000    0.022    0.000 var.j2:4(root)
     6742    0.017    0.000    0.716    0.000 py2cpp.py:335(__analyze_prop_alias_embedder)
    18632    0.017    0.000    0.080    0.000 async_utils.py:34(wrapper)
     9479    0.016    0.000    2.011    0.000 py2cpp.py:924(is_relay_type)
    43417    0.016    0.000    0.357    0.000 primary.py:133(match_feature)
    20215    0.016    0.000    0.448    0.000 py2cpp.py:929(<lambda>)
    25648    0.016    0.000    0.025    0.000 argument.j2:4(root)
    13088    0.016    0.000    2.708    0.000 py2cpp.py:909(is_relay_cvar_link)
    19160    0.016    0.000    0.318    0.000 template.py:216(has_templates)
    23623    0.016    0.000    0.020    0.000 template.py:395(__current_key)
    21258    0.015    0.000    3.042    0.000 py2cpp.py:835(<lambda>)
    40687    0.015    0.000    0.164    0.000 statement_simple.py:35(symbols)
