         11830273 function calls (11535543 primitive calls) in 2.844 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   134/39    0.000    0.000    0.011    0.000 compiler.py:442(blockvisit)
       25    0.000    0.000    0.011    0.000 statement_compound.py:324(comment)
      165    0.000    0.000    0.011    0.000 finder.py:82(by_symbolic)
       36    0.000    0.000    0.011    0.000 statement_compound.py:129(statements)
    95/77    0.000    0.000    0.011    0.000 parser.py:194(parse_statements)
    17879    0.009    0.000    0.011    0.000 node.py:30(__init__)
    33995    0.006    0.000    0.011    0.000 query.py:43(exists)
     5975    0.006    0.000    0.011    0.000 node.py:429(one_of)
      108    0.000    0.000    0.011    0.000 py2cpp.py:770(proc_binary_operator_expression)
    13899    0.005    0.000    0.011    0.000 nodes.py:167(iter_child_nodes)
  264/263    0.000    0.000    0.010    0.000 parser.py:678(parse_tuple)
       36    0.000    0.000    0.010    0.000 primary.py:393(or_types)
       23    0.000    0.000    0.010    0.000 statement_compound.py:56(condition)
  349/255    0.000    0.000    0.010    0.000 parser.py:513(parse_expression)
  349/255    0.000    0.000    0.010    0.000 parser.py:537(parse_or)
      146    0.000    0.000    0.010    0.000 py2cpp.py:120(to_domain_name)
     4729    0.001    0.000    0.009    0.000 reflections.py:81(type_of_standard)
    46927    0.009    0.000    0.009    0.000 entry.py:26(name)
  351/256    0.000    0.000    0.009    0.000 parser.py:546(parse_and)
38648/24085    0.008    0.000    0.009    0.000 implements.py:320(types)
      600    0.000    0.000    0.009    0.000 primary.py:128(match_feature)
  358/260    0.000    0.000    0.009    0.000 parser.py:555(parse_not)
     4262    0.001    0.000    0.009    0.000 path.py:94(last_tag)
     2747    0.005    0.000    0.009    0.000 lexer.py:667(tokeniter)
      600    0.001    0.000    0.009    0.000 primary.py:587(is_param_class)
        1    0.000    0.000    0.009    0.009 py2cpp.py:251(on_list_comp)
  355/260    0.000    0.000    0.009    0.000 parser.py:561(parse_compare)
      864    0.000    0.000    0.009    0.000 move_assign.j2:4(root)
    88726    0.009    0.000    0.009    0.000 {method 'items' of 'dict' objects}
      136    0.000    0.000    0.009    0.000 statement_compound.py:311(parameters)
       26    0.000    0.000    0.009    0.000 primary.py:314(match_feature)
23148/21652    0.008    0.000    0.009    0.000 node.py:492(__getattribute__)
      146    0.000    0.000    0.009    0.000 naming.py:131(domain_name)
      254    0.000    0.000    0.008    0.000 statement_simple.py:28(value)
     4729    0.002    0.000    0.008    0.000 finder.py:59(by_standard)
      262    0.000    0.000    0.008    0.000 statement_simple.py:15(_elements)
        1    0.000    0.000    0.008    0.008 py2cpp.py:716(on_and_compare)
  376/281    0.000    0.000    0.008    0.000 parser.py:584(parse_math1)
       25    0.000    0.000    0.008    0.000 proxy.py:213(__repr__)
  376/281    0.000    0.000    0.008    0.000 parser.py:595(parse_concat)
     1513    0.001    0.000    0.008    0.000 primary.py:670(in_decl_alt_class_type)
  376/281    0.000    0.000    0.008    0.000 parser.py:605(parse_math2)
  376/281    0.000    0.000    0.008    0.000 parser.py:616(parse_pow)
  384/281    0.000    0.000    0.007    0.000 parser.py:626(parse_unary)
 2468/418    0.001    0.000    0.007    0.000 visitor.py:44(generic_visit)
       39    0.000    0.000    0.007    0.000 environment.py:698(_compile)
       39    0.007    0.000    0.007    0.000 {built-in method builtins.compile}
    38907    0.004    0.000    0.007    0.000 node.py:259(order)
  276/199    0.000    0.000    0.007    0.000 parser.py:522(parse_condexpr)
   119859    0.007    0.000    0.007    0.000 typing.py:2090(cast)
 3517/210    0.002    0.000    0.007    0.000 nodes.py:193(find_all)
      696    0.004    0.000    0.007    0.000 template.py:47(__init__)
       18    0.000    0.000    0.007    0.000 py2cpp.py:210(on_for)
       20    0.000    0.000    0.007    0.000 statement_simple.py:84(return_value)
    14956    0.004    0.000    0.006    0.000 path.py:112(__break_tag)
    86982    0.006    0.000    0.006    0.000 {built-in method builtins.issubclass}
    10111    0.004    0.000    0.006    0.000 procedure.py:254(__stack_pop)
     1750    0.001    0.000    0.006    0.000 statement_compound.py:562(symbol)
     1873    0.000    0.000    0.006    0.000 primary.py:429(calls)
       26    0.000    0.000    0.006    0.000 py2cpp.py:787(on_doc_string)
      548    0.001    0.000    0.006    0.000 py2cpp.py:477(is_class_access)
       46    0.000    0.000    0.006    0.000 statement_compound.py:67(else_ifs)
     8560    0.004    0.000    0.006    0.000 procedure.py:242(__is_prop_list_by)
      136    0.000    0.000    0.006    0.000 primary.py:303(template_types)
       95    0.000    0.000    0.006    0.000 py2cpp.py:515(on_indexer)
     1803    0.003    0.000    0.006    0.000 runtime.py:163(__init__)
    21806    0.004    0.000    0.006    0.000 general.py:21(scope)
    39/36    0.000    0.000    0.006    0.000 compiler.py:1296(visit_If)
    31323    0.006    0.000    0.006    0.000 embed.py:25(class_path)
     2826    0.003    0.000    0.006    0.000 enum.py:1509(__and__)
     1151    0.001    0.000    0.006    0.000 primary.py:658(in_decl_class_type)
  142/105    0.000    0.000    0.006    0.000 compiler.py:44(new_func)
      600    0.000    0.000    0.005    0.000 primary.py:138(match_feature)
      956    0.000    0.000    0.005    0.000 primary.py:163(match_feature)
     3752    0.001    0.000    0.005    0.000 path.py:42(valid)
     1149    0.001    0.000    0.005    0.000 primary.py:689(in_decl_import)
       51    0.000    0.000    0.005    0.000 statement_compound.py:118(symbols)
      134    0.001    0.000    0.005    0.000 compiler.py:1479(visit_Output)
      600    0.001    0.000    0.005    0.000 primary.py:603(is_param_this)
     1807    0.001    0.000    0.005    0.000 implements.py:674(relay)
      591    0.000    0.000    0.005    0.000 py2cpp.py:471(is_on_cvar_relay)
    67578    0.005    0.000    0.005    0.000 procedure.py:99(__stack)
       56    0.000    0.000    0.005    0.000 literal.py:128(items)
    34962    0.005    0.000    0.005    0.000 eventemitter.py:70(observed)
      609    0.000    0.000    0.005    0.000 lexer.py:401(expect)
    14/13    0.000    0.000    0.005    0.000 primary.py:353(match_feature)
       43    0.000    0.000    0.005    0.000 symbol_extends.py:65(<lambda>)
    38889    0.005    0.000    0.005    0.000 {method 'lower' of 'str' objects}
     3251    0.002    0.000    0.005    0.000 node.py:62(__eq__)
     8134    0.002    0.000    0.005    0.000 query.py:155(<lambda>)
     3467    0.004    0.000    0.005    0.000 __init__.py:1023(__iter__)
     1764    0.001    0.000    0.005    0.000 environment.py:1489(is_up_to_date)
        8    0.000    0.000    0.005    0.001 primary.py:360(parameters)
        8    0.000    0.000    0.005    0.001 primary.py:370(template_types)
        8    0.000    0.000    0.005    0.001 primary.py:415(type_params)
      600    0.000    0.000    0.005    0.000 primary.py:122(match_feature)
  160/137    0.000    0.000    0.005    0.000 implements.py:123(_clone)
      600    0.000    0.000    0.004    0.000 primary.py:619(is_param)
        1    0.000    0.000    0.004    0.004 py2cpp.py:325(on_class)
       23    0.000    0.000    0.004    0.000 py2cpp.py:201(on_if)
    14976    0.001    0.000    0.004    0.000 <frozen _collections_abc>:868(__iter__)
    56836    0.004    0.000    0.004    0.000 path.py:34(__init__)
       18    0.000    0.000    0.004    0.000 parser.py:234(parse_for)
     1764    0.001    0.000    0.004    0.000 loaders.py:210(uptodate)
       43    0.000    0.000    0.004    0.000 symbol_extends.py:121(extends_for_class)
    11568    0.004    0.000    0.004    0.000 typing.py:372(inner)
    23888    0.003    0.000    0.004    0.000 nodes.py:145(iter_fields)
      146    0.000    0.000    0.004    0.000 primary.py:220(class_symbol)
     1842    0.001    0.000    0.004    0.000 utils.py:463(get)
  396/385    0.000    0.000    0.004    0.000 parser.py:644(parse_primary)
    30918    0.004    0.000    0.004    0.000 di.py:294(__can_resolve)
      584    0.000    0.000    0.004    0.000 primary.py:266(domain_name)
      591    0.000    0.000    0.004    0.000 py2cpp.py:468(is_this_access)
     1041    0.000    0.000    0.004    0.000 py2cpp.py:820(on_fallback)
      128    0.000    0.000    0.004    0.000 implements.py:382(clone)
    41562    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
       66    0.000    0.000    0.004    0.000 idtracking.py:46(analyze_node)
      548    0.000    0.000    0.004    0.000 py2cpp.py:474(is_on_cvar_exchanger)
     1803    0.001    0.000    0.003    0.000 <frozen genericpath>:65(getmtime)
    29319    0.003    0.000    0.003    0.000 {method 'values' of 'dict' objects}
       18    0.000    0.000    0.003    0.000 compiler.py:1157(visit_For)
  513/142    0.001    0.000    0.003    0.000 optimizer.py:30(generic_visit)
       12    0.000    0.000    0.003    0.000 py2cpp.py:802(on_dict)
     1842    0.002    0.000    0.003    0.000 utils.py:497(__getitem__)
        4    0.000    0.000    0.003    0.001 py2cpp.py:352(on_enum)
     6142    0.002    0.000    0.003    0.000 proxy.py:67(_actual_addr)
     2840    0.001    0.000    0.003    0.000 _compiler.py:396(_simple)
      583    0.001    0.000    0.003    0.000 query.py:176(tester)
     2168    0.001    0.000    0.003    0.000 proxy.py:179(to)
     9351    0.003    0.000    0.003    0.000 {method 'fullmatch' of 're.Pattern' objects}
       73    0.000    0.000    0.003    0.000 parser.py:710(parse)
    13312    0.003    0.000    0.003    0.000 __init__.py:1009(__getitem__)
       38    0.000    0.000    0.003    0.000 py2cpp.py:799(on_list)
      600    0.000    0.000    0.003    0.000 primary.py:45(match_feature)
       39    0.000    0.000    0.003    0.000 compiler.py:538(pull_dependencies)
  513/142    0.001    0.000    0.003    0.000 visitor.py:61(generic_visit)
       57    0.000    0.000    0.003    0.000 compiler.py:142(find_undeclared)
      589    0.001    0.000    0.003    0.000 finder.py:137(__find_raw_for_type)
       48    0.000    0.000    0.003    0.000 idtracking.py:178(_simple_visit)
     2816    0.002    0.000    0.003    0.000 _parser.py:448(_uniq)
      594    0.000    0.000    0.003    0.000 primary.py:152(match_feature)
       21    0.000    0.000    0.003    0.000 primary.py:319(value_type)
       21    0.000    0.000    0.003    0.000 primary.py:307(primary_type)
      592    0.000    0.000    0.003    0.000 primary.py:170(match_feature)
       30    0.000    0.000    0.003    0.000 py2cpp.py:441(on_types_name)
      448    0.000    0.000    0.003    0.000 reflections.py:657(on_integer)
      183    0.000    0.000    0.003    0.000 statement_compound.py:459(inherits)
    10986    0.002    0.000    0.003    0.000 node.py:138(can_expand)
       95    0.000    0.000    0.003    0.000 py2cpp.py:523(analyze_indexer_spec)
     2830    0.003    0.000    0.003    0.000 {built-in method _sre.compile}
     1848    0.003    0.000    0.003    0.000 {built-in method posix.stat}
     8558    0.002    0.000    0.003    0.000 _parser.py:292(tell)
    11510    0.002    0.000    0.003    0.000 _parser.py:163(__len__)
      247    0.000    0.000    0.003    0.000 primary.py:65(declare)
      952    0.000    0.000    0.003    0.000 primary.py:216(match_feature)
