python -m unittest tests.unit.rogw.tranp.implements.cpp.transpiler.test_py2cpp --
         6714292 function calls (6403354 primitive calls) in 2.408 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1765    0.003    0.000    0.006    0.000 reflection.py:126(to)
2788/1127    0.003    0.000    0.087    0.000 node.py:132(factory)
    20709    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
     7619    0.002    0.000    0.082    0.000 reflections.py:76(from_standard)
    13806    0.002    0.000    0.002    0.000 entry.py:55(value)
     3253    0.002    0.000    0.007    0.000 module.py:101(expanded)
     3249    0.002    0.000    0.197    0.000 general.py:50(whole_by)
    17425    0.002    0.000    0.002    0.000 {method 'write' of '_io.StringIO' objects}
     3597    0.002    0.000    0.037    0.000 statement_compound.py:335(actual_symbol)
     9666    0.002    0.000    0.004    0.000 query.py:41(exists)
     9897    0.002    0.000    0.004    0.000 query.py:147(<lambda>)
    28222    0.002    0.000    0.002    0.000 reflection.py:302(types)
     2759    0.002    0.000    0.285    0.000 node.py:270(__prop_of_nodes)
     3541    0.002    0.000    0.089    0.000 statement_compound.py:277(domain_name)
    18060    0.002    0.000    0.002    0.000 {method 'pop' of 'dict' objects}
   178/29    0.002    0.000    0.080    0.003 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    19340    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
      412    0.002    0.000    2.409    0.006 test_py2cpp.py:58(test_exec)
      638    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
      151    0.002    0.000    0.116    0.001 compiler.py:829(visit_Template)
     1595    0.002    0.000    0.156    0.000 reflections.py:445(on_var)
      375    0.002    0.000    0.020    0.000 compiler.py:1482(visit_Output)
     1115    0.002    0.000    0.011    0.000 type_py2cpp.j2:4(root)
     1852    0.002    0.000    0.027    0.000 traits.py:140(_actualize_type)
    20021    0.002    0.000    0.002    0.000 memo2.py:34(__init__)
 2230/412    0.002    0.000    1.637    0.004 procedure.py:59(exec)
    16020    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     3643    0.002    0.000    0.297    0.000 environment.py:978(get_template)
     4760    0.002    0.000    0.002    0.000 node.py:494(__getattribute__)
      553    0.002    0.000    0.170    0.000 py2cpp.py:795(on_var)
    12972    0.002    0.000    0.002    0.000 resolver.py:57(can_resolve)
1345/1341    0.002    0.000    0.075    0.000 naming.py:57(domain_name)
     4140    0.002    0.000    0.002    0.000 {method 'mro' of 'type' objects}
    14835    0.002    0.000    0.002    0.000 node.py:83(module_path)
1514/1364    0.002    0.000    0.021    0.000 parser.py:646(parse_primary)
      251    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
     9335    0.002    0.000    0.002    0.000 runtime.py:229(resolve_or_missing)
     3643    0.002    0.000    0.063    0.000 environment.py:1378(new_context)
     4361    0.002    0.000    0.008    0.000 compiler.py:467(writeline)
     6289    0.002    0.000    0.051    0.000 lexer.py:380(__next__)
     3852    0.002    0.000    0.015    0.000 statement_compound.py:532(decorators)
     9837    0.002    0.000    0.003    0.000 utils.py:81(from_obj)
    19363    0.002    0.000    0.002    0.000 convertion.py:6(safe_cast)
2009/2004    0.002    0.000    0.524    0.000 reflections.py:100(type_of)
       15    0.002    0.000    0.208    0.014 db.py:169(import_json)
      332    0.002    0.000    0.083    0.000 reflections.py:418(on_relay)
     5184    0.002    0.000    0.003    0.000 lexer.py:213(_future_new)
     6275    0.002    0.000    0.002    0.000 trait.py:119(get)
     2230    0.002    0.000    0.003    0.000 procedure.py:103(__result)
     5184    0.002    0.000    0.004    0.000 lexer.py:202(__new__)
      914    0.002    0.000    0.015    0.000 template.py:228(unpack_templates)
     1921    0.002    0.000    0.002    0.000 defer.py:46(__init__)
      151    0.002    0.000    0.010    0.000 nodes.py:231(set_environment)
    12841    0.002    0.000    0.002    0.000 memo2.py:10(__init__)
    23635    0.002    0.000    0.002    0.000 entry.py:12(__init__)
     7121    0.001    0.000    0.002    0.000 node.py:153(can_expand)
     1551    0.001    0.000    0.025    0.000 primary.py:767(is_param_class)
 1469/918    0.001    0.000    0.036    0.000 parser.py:628(parse_unary)
        1    0.001    0.001    0.012    0.012 lexer.py:631(__init__)
     3794    0.001    0.000    0.002    0.000 nodes.py:76(__init__)
     2626    0.001    0.000    0.045    0.000 traits.py:47(type_is)
3082/2869    0.001    0.000    0.270    0.000 reflections.py:238(__resolve_raw)
     2184    0.001    0.000    0.079    0.000 primary.py:229(receiver)
     1546    0.001    0.000    0.012    0.000 primary.py:782(is_param_this)
     5909    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
    16680    0.001    0.000    0.001    0.000 reflection.py:97(_traits)
      248    0.001    0.000    0.078    0.000 py2cpp.py:1059(analyze_func_call_spec)
     2690    0.001    0.000    0.007    0.000 default.j2:4(root)
     1921    0.001    0.000    0.003    0.000 defer.py:19(new)
      671    0.001    0.000    0.008    0.000 primary.py:744(is_decl_this_var)
 1350/827    0.001    0.000    0.042    0.000 parser.py:563(parse_compare)
     3076    0.001    0.000    0.002    0.000 <frozen _collections_abc>:823(keys)
     1514    0.001    0.000    0.001    0.000 node.py:493(Proxy)
     9975    0.001    0.000    0.001    0.000 reflection.py:17(__init__)
     2702    0.001    0.000    0.002    0.000 {built-in method builtins.sorted}
     3832    0.001    0.000    0.004    0.000 path.py:42(valid)
      676    0.001    0.000    0.016    0.000 node.py:503(dirty_child)
     5552    0.001    0.000    0.005    0.000 lexer.py:367(next_if)
     4002    0.001    0.000    0.002    0.000 lexer.py:559(<lambda>)
     5552    0.001    0.000    0.006    0.000 lexer.py:376(skip_if)
      357    0.001    0.000    0.032    0.000 template.py:166(returns)
     3794    0.001    0.000    0.011    0.000 utils.py:463(get)
     9388    0.001    0.000    0.001    0.000 base.py:187(__init__)
     4563    0.001    0.000    0.011    0.000 path.py:94(last_tag)
    13731    0.001    0.000    0.001    0.000 reflection.py:353(decl)
      468    0.001    0.000    0.013    0.000 template.py:426(build)
     1203    0.001    0.000    0.009    0.000 primary.py:797(is_param)
      806    0.001    0.000    0.005    0.000 primary.py:717(is_decl_this_var_forward)
      811    0.001    0.000    0.008    0.000 primary.py:704(is_decl_class_var)
     3575    0.001    0.000    0.008    0.000 {method 'extend' of 'collections.deque' objects}
     4064    0.001    0.000    0.002    0.000 resolver.py:23(can_resolve)
      746    0.001    0.000    0.004    0.000 nodes.py:590(from_untrusted)
     1816    0.001    0.000    0.036    0.000 traits.py:101(_actualize_nullable)
      957    0.001    0.000    0.005    0.000 lexer.py:556(<genexpr>)
     4052    0.001    0.000    0.003    0.000 {built-in method builtins.any}
     1201    0.001    0.000    0.003    0.000 embed.py:170(dig_for_method)
     1242    0.001    0.000    0.002    0.000 traits.py:119(_actualize_self)
     2869    0.001    0.000    0.271    0.000 reflections.py:221(resolve)
  857/842    0.001    0.000    0.046    0.000 parser.py:680(parse_tuple)
      248    0.001    0.000    0.177    0.001 py2cpp.py:906(on_func_call)
     2706    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
       92    0.001    0.000    0.001    0.000 {built-in method _hashlib.openssl_md5}
     1909    0.001    0.000    0.007    0.000 primary.py:236(prop)
     4424    0.001    0.000    0.001    0.000 compiler.py:474(newline)
     1201    0.001    0.000    0.002    0.000 embed.py:98(get_from_method)
      586    0.001    0.000    0.001    0.000 node.py:222(__embed_classes)
     1921    0.001    0.000    0.060    0.000 primary.py:126(match_feature)
      982    0.001    0.000    0.007    0.000 element.py:61(arguments)
     9975    0.001    0.000    0.001    0.000 reflection.py:43(__init__)
     2108    0.001    0.000    0.012    0.000 element.py:56(path)
     1361    0.001    0.000    0.008    0.000 primary.py:836(in_decl_class_type)
    15485    0.001    0.000    0.001    0.000 tree.py:57(__init__)
      511    0.001    0.000    0.006    0.000 finder.py:238(__find_library_raw)
     7792    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
     7176    0.001    0.000    0.001    0.000 procedure.py:271(__put_log_action)
      526    0.001    0.000    0.002    0.000 nodes.py:240(__eq__)
      253    0.001    0.000    0.016    0.000 template.py:252(make_updates)
    15485    0.001    0.000    0.001    0.000 tree.py:28(__init__)
1794/1789    0.001    0.000    0.505    0.000 reflections.py:289(__resolve_procedural)
      152    0.001    0.000    0.198    0.001 py2cpp.py:554(proc_move_assign_single)
     8541    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     3357    0.001    0.000    0.001    0.000 reflection.py:407(extends)
1345/1341    0.001    0.000    0.051    0.000 naming.py:119(__alias_or_domain_name)
     1712    0.001    0.000    0.002    0.000 db.py:33(__setitem__)
      384    0.001    0.000    0.074    0.000 cvars.py:240(var_name_from)
     1005    0.001    0.000    0.023    0.000 primary.py:533(arguments)
     4319    0.001    0.000    0.002    0.000 environment.py:482(getattr)
      223    0.001    0.000    0.003    0.000 {method 'sort' of 'list' objects}
      123    0.001    0.000    0.002    0.000 scanner.py:1270(scan_plain)
      822    0.001    0.000    0.002    0.000 compiler.py:1593(visit_Name)
      468    0.001    0.000    0.005    0.000 traits.py:461(_build_schema)
 1447/918    0.001    0.000    0.038    0.000 parser.py:597(parse_concat)
      681    0.001    0.000    0.002    0.000 idtracking.py:86(copy)
1552/1536    0.001    0.000    0.004    0.000 typing.py:426(inner)
      381    0.001    0.000    0.051    0.000 traits.py:377(returns)
     2663    0.001    0.000    0.003    0.000 lexer.py:81(to_regexp)
     1765    0.001    0.000    0.007    0.000 statement_compound.py:378(decorators)
       16    0.001    0.000    0.093    0.006 cache.py:167(load_cache)
     6275    0.001    0.000    0.001    0.000 trait.py:109(has_method)
     3076    0.001    0.000    0.001    0.000 __init__.py:1036(__bool__)
     2055    0.001    0.000    0.001    0.000 i18n.py:38(t)
      431    0.001    0.000    0.001    0.000 parse_tree_builder.py:162(maybe_create_child_filter)
     1996    0.001    0.000    0.018    0.000 lexer.py:403(expect)
      494    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
      468    0.001    0.000    0.015    0.000 traits.py:451(_build_helper)
      321    0.001    0.000    0.022    0.000 primary.py:218(match_feature)
      571    0.001    0.000    0.049    0.000 traits.py:242(prop_of)
      883    0.001    0.000    0.002    0.000 dsn.py:53(right)
